,IssuerName,ISIN,Ticker,CountryOfIncorporation,GICSSector,GICSSubIndustry,Year,Report URL
0,Kilroy Realty Corporation,US49427F1084,KRC,USA,Real Estate,Office REITs,2021,https://kilroyrealty.com/wp-content/uploads/2022/04/2021-Kilroy_Sustainability_Report.pdf
1,"Highwoods Properties, Inc.",US4312841087,HIW,USA,Real Estate,Office REITs,2021,https://www.responsibilityreports.com/Click/1335
2,"Prologis, Inc.",US74340W1036,PLD,USA,Real Estate,Industrial REITs,2021,https://prologis.getbynder.com/m/40de827ea131cc4/original/2021-22-Prologis-ESG-Report.pdf
3,"Host Hotels & Resorts, Inc.",US44107P1049,HST,USA,Real Estate,Hotel & Resort REITs,2021,https://www.hosthotels.com/-/media/HostHotels/Files/DownloadLinksAssets/CR-Highlights/Host_Hotels_Resorts_Inc_2022_Corporate_Responsibility_Report.pdf
4,DiamondRock Hospitality Company,US2527843013,DRH,USA,Real Estate,Hotel & Resort REITs,2021,https://investor.drhc.com/static-files/52de73f3-377a-47cc-8b08-b427160642cf
